subject,predicate,object
Nana (anime),has title,Nana
Nana (anime),has type,anime
Nana (anime),is adaptation of,Nana (manga)
Nana (anime),has date of publication,2007
Nana (anime),has publisher,Terminal Video
Nana (anime),has audio language,Italian
Nana (anime),has audio language,Japanese
Nana (anime),has subtitle language,Italian
Nana (anime),has subtitle language,Japanese
Nana (anime),has director,Morio Asaka
Nana (anime),has composer,Tomoki Hasegawa
Nana (anime),is held by,Biblioteca Sala Borsa
Nana (anime),has format,slipcase
