subject,predicate,object
Vivienne Westwood photo,has type,photograph
Vivienne Westwood photo,has subject,Vivienne Westwood
Vivienne Westwood photo,has creator,Martin Parr
Vivienne Westwood photo,has date of production,2012
Vivienne Westwood photo,has format,pigment print
Vivienne Westwood photo,has height,1528 mm
Vivienne Westwood photo,has width,1052 mm
Vivienne Westwood photo,is held by,National Portait Gallery
Vivienne Westwood photo,has inscription,climate revolution
Vivienne Westwood photo,has subject,activism
