subject,predicate,object
God Save the Queen top,has type,top
God Save the Queen top,has title,God Save The Queen top
God Save the Queen top,has creator,Malcolm McLaren
God Save the Queen top,has material,muslin
God Save the Queen top,has material,metal
God Save the Queen top,has place of production,UK
God Save the Queen top,has length,54 cm
God Save the Queen top,has circumference,80 cm
God Save the Queen top,has subject,Elizabeth II Queen of Great Britain
God Save the Queen top,has content,inscription
God Save the Queen top,has date of production,1976
God Save the Queen top,has technique,printing
God Save the Queen top,has museum category,Gender and Sexuality
God Save the Queen top,has museum category,The Michael and Gertrude Costiff Costume Collection
God Save the Queen top,is held by,Victoria and Albert Museum
God Save the Queen top,is designed by,Vivienne Westwood
